Log initialized at 2025-04-26 07:05:39.240161
------------------------------
[2025-04-26 07:05:58.067] get_mmap_tensor: Reading tensor 'blk.0.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 811889472, bytes 330301440
[2025-04-26 07:05:58.067] get_mmap_tensor: Reading tensor 'blk.0.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 1142190912, bytes 330301440
[2025-04-26 07:05:58.067] get_mmap_tensor: Reading tensor 'blk.0.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 330199872, bytes 481689600
[2025-04-26 07:06:00.796] get_mmap_tensor: Reading tensor 'blk.1.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 2114935616, bytes 330301440
[2025-04-26 07:06:00.797] get_mmap_tensor: Reading tensor 'blk.1.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 2445237056, bytes 330301440
[2025-04-26 07:06:00.797] get_mmap_tensor: Reading tensor 'blk.1.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 1633246016, bytes 481689600
[2025-04-26 07:06:03.523] get_mmap_tensor: Reading tensor 'blk.2.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 3417981760, bytes 330301440
[2025-04-26 07:06:03.523] get_mmap_tensor: Reading tensor 'blk.2.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 3748283200, bytes 330301440
[2025-04-26 07:06:03.523] get_mmap_tensor: Reading tensor 'blk.2.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 2936292160, bytes 481689600
[2025-04-26 07:06:06.271] get_mmap_tensor: Reading tensor 'blk.3.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 4569166656, bytes 330301440
[2025-04-26 07:06:06.271] get_mmap_tensor: Reading tensor 'blk.3.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 4899468096, bytes 330301440
